记录编号,部门,员工级别,费用类型,报销金额,发票金额,金额差额,发票张数,费用发生后提交天数,审批层级数,近30天同供应商报销次数,员工近30天报销次数,员工近6个月退回次数,同类费用平均金额,高于同类平均金额比例,部门预算使用率,发票抬头是否一致,是否有合同附件,是否周末发生费用,是否疑似重复发票,供应商信用等级,审核结果
R005639,采购部,普通员工,通信费,489,489,0,2,42,1,7,5,0,280,0.7464,1.0056,是,否,否,否,C,人工复核
R005640,人力资源部,普通员工,培训费,2636,2636,0,2,8,2,6,3,0,2600,0.0138,1.0036,否,是,是,否,A,人工复核
R005641,财务部,普通员工,会议费,6380,6366,14,2,62,3,0,7,1,3200,0.9938,0.6561,是,是,否,否,B,人工复核
R005642,生产部,主管,招待费,3888,3888,0,2,9,2,2,11,2,2200,0.7673,0.572,是,是,否,否,A,人工复核
R005643,信息技术部,普通员工,广告宣传费,7955,7955,0,2,45,3,4,4,0,5000,0.591,0.4679,是,否,否,否,A,通过
R005644,财务部,实习生,差旅费,1577,1577,0,3,22,2,2,1,3,1800,-0.1239,0.3805,是,否,否,否,B,通过
R005645,采购部,主管,会议费,5178,5178,0,2,22,3,5,5,0,3200,0.6181,0.4895,是,是,是,否,A,通过
R005646,财务部,普通员工,招待费,4270,4246,24,3,41,2,6,6,0,2200,0.9409,0.839,是,否,否,否,A,人工复核
R005647,人力资源部,主管,差旅费,1558,1558,0,4,6,2,1,8,2,1800,-0.1344,0.8349,是,否,否,否,A,通过
R005648,财务部,实习生,通信费,152,152,0,4,16,1,1,4,2,280,-0.4571,0.8806,是,否,否,否,A,通过
R005649,信息技术部,主管,交通费,175,156,19,1,28,1,7,7,1,350,-0.5,0.8157,是,否,否,否,A,通过
R005650,市场部,普通员工,交通费,642,642,0,4,15,1,2,1,0,350,0.8343,0.6913,是,是,是,否,B,通过
R005651,人力资源部,普通员工,咨询服务费,23871,23871,0,7,35,4,2,9,0,6500,2.6725,1.0051,是,是,是,否,A,退回
R005652,人力资源部,普通员工,培训费,4453,4453,0,4,20,2,3,1,0,2600,0.7127,0.533,是,是,否,否,A,通过
R005653,信息技术部,主管,会议费,9068,9068,0,4,15,3,0,1,0,3200,1.8338,0.6379,是,是,否,否,A,通过
R005654,行政部,普通员工,交通费,341,341,0,2,28,1,8,7,1,350,-0.0257,0.5126,是,否,否,否,D,人工复核
R005655,采购部,普通员工,交通费,138,138,0,1,37,1,2,6,1,350,-0.6057,0.8838,是,是,否,否,A,通过
R005656,销售部,经理,广告宣传费,5798,5798,0,3,33,3,0,7,2,5000,0.1596,0.854,否,否,是,否,B,退回
R005657,生产部,普通员工,差旅费,1678,1678,0,3,45,2,6,1,0,1800,-0.0678,0.6571,是,否,否,是,C,通过
R005658,人力资源部,普通员工,维修费,1953,1953,0,1,24,2,1,2,0,1500,0.302,0.8929,是,否,是,否,A,通过
R005659,人力资源部,普通员工,会议费,4251,4251,0,1,63,2,1,7,0,3200,0.3284,0.4471,是,是,否,否,B,人工复核
R005660,采购部,普通员工,办公用品,934,886,48,3,24,1,3,7,0,700,0.3343,0.3915,是,否,否,否,A,通过
R005661,市场部,主管,维修费,1542,1542,0,4,21,2,2,3,1,1500,0.028,0.9043,是,是,否,是,A,人工复核
R005662,市场部,主管,维修费,900,863,37,2,38,1,4,2,0,1500,-0.4,0.8881,否,否,是,否,B,退回
R005663,采购部,普通员工,办公用品,899,899,0,4,34,1,5,7,0,700,0.2843,0.6241,是,否,否,否,A,通过
R005664,行政部,主管,通信费,390,390,0,2,27,1,0,3,0,280,0.3929,0.8327,是,否,否,否,B,人工复核
R005665,财务部,经理,差旅费,2358,2334,24,1,42,2,8,4,0,1800,0.31,0.8336,是,否,否,否,C,通过
R005666,采购部,普通员工,广告宣传费,2447,2447,0,1,44,2,4,7,0,5000,-0.5106,0.9491,是,否,否,否,A,人工复核
R005667,销售部,实习生,办公用品,458,458,0,3,47,1,2,6,1,700,-0.3457,0.6169,是,否,是,否,A,通过
R005668,市场部,普通员工,差旅费,858,1099,241,3,30,1,1,2,0,1800,-0.5233,0.54,是,否,否,否,A,通过
R005669,市场部,普通员工,会议费,1784,1784,0,1,58,2,1,7,0,3200,-0.4425,0.566,是,是,否,否,C,通过
R005670,采购部,普通员工,广告宣传费,2800,2668,132,1,21,2,3,7,1,5000,-0.44,1.0155,是,否,否,否,A,退回
R005671,信息技术部,普通员工,差旅费,954,954,0,3,26,1,5,7,1,1800,-0.47,0.4101,是,否,否,否,B,通过
R005672,市场部,普通员工,办公用品,1114,1114,0,4,37,2,6,7,0,700,0.5914,0.4181,是,否,否,否,A,通过
R005673,信息技术部,普通员工,交通费,1032,1205,173,8,30,2,13,15,0,350,1.9486,0.5161,是,是,否,否,C,退回
R005674,生产部,主管,通信费,501,501,0,2,39,1,3,4,0,280,0.7893,0.4281,是,否,否,否,B,通过
R005675,人力资源部,普通员工,交通费,1029,1029,0,3,18,2,1,1,0,350,1.94,0.4026,是,否,否,否,C,人工复核
R005676,行政部,普通员工,交通费,701,677,24,3,10,1,2,1,0,350,1.0029,0.3949,是,否,否,否,C,通过
R005677,销售部,主管,差旅费,3578,3578,0,2,22,2,8,7,0,1800,0.9878,0.5892,是,否,是,否,B,通过
R005678,人力资源部,普通员工,培训费,2321,2321,0,3,58,2,0,2,4,2600,-0.1073,0.9649,否,否,否,否,A,退回
R005679,财务部,普通员工,差旅费,3052,3092,40,2,28,2,3,1,1,1800,0.6956,0.5044,是,否,否,否,C,人工复核
R005680,市场部,主管,咨询服务费,12227,12227,0,1,28,4,7,4,0,6500,0.8811,0.6701,是,是,是,否,A,通过
R005681,人力资源部,普通员工,招待费,3406,3406,0,3,41,2,8,4,3,2200,0.5482,0.7414,是,是,否,否,A,人工复核
R005682,销售部,主管,差旅费,3442,3494,52,2,7,2,1,7,0,1800,0.9122,1.2337,否,否,否,否,B,人工复核
R005683,采购部,主管,差旅费,2323,2323,0,3,1,2,0,3,0,1800,0.2906,0.4231,是,否,是,否,A,通过
R005684,信息技术部,普通员工,办公用品,1075,1075,0,2,35,2,12,5,1,700,0.5357,1.0106,是,否,否,否,C,退回
R005685,人力资源部,普通员工,维修费,886,886,0,3,37,1,3,1,0,1500,-0.4093,0.6894,是,是,否,否,A,通过
R005686,财务部,普通员工,通信费,309,309,0,4,41,1,0,5,0,280,0.1036,0.7054,否,否,否,是,A,退回
R005687,行政部,普通员工,差旅费,3280,3280,0,2,30,2,5,8,0,1800,0.8222,0.5049,是,否,否,否,B,通过
R005688,市场部,主管,交通费,192,0,192,1,15,1,8,6,0,350,-0.4514,0.4145,是,否,否,否,A,人工复核
R005689,财务部,普通员工,招待费,2712,2712,0,4,23,2,3,4,1,2200,0.2327,0.7956,是,否,否,否,B,通过
R005690,生产部,普通员工,差旅费,2764,2764,0,1,1,2,8,2,0,1800,0.5356,1.1987,否,否,否,否,A,退回
R005691,财务部,普通员工,会议费,3198,3198,0,1,40,2,17,4,1,3200,-0.0006,1.0222,是,是,否,否,B,人工复核
R005692,销售部,实习生,培训费,8628,8628,0,4,68,3,0,7,2,2600,2.3185,0.5693,是,是,否,否,C,人工复核
R005693,财务部,经理,咨询服务费,13458,13458,0,5,23,4,6,6,3,6500,1.0705,0.6594,是,否,否,否,D,退回
R005694,生产部,主管,差旅费,1497,1497,0,1,2,2,6,4,0,1800,-0.1683,0.6212,是,否,是,否,A,通过
R005695,行政部,普通员工,交通费,129,129,0,4,27,1,14,6,1,350,-0.6314,0.873,是,否,是,否,B,人工复核
R005696,人力资源部,普通员工,会议费,5639,5693,54,3,42,3,6,5,0,3200,0.7622,1.0257,是,是,是,否,B,人工复核
R005697,市场部,普通员工,咨询服务费,4105,4108,3,1,38,2,8,2,0,6500,-0.3685,0.4428,是,是,否,否,C,人工复核
R005698,信息技术部,主管,广告宣传费,8984,8984,0,2,32,3,6,2,2,5000,0.7968,1.0121,是,否,否,否,B,人工复核
R005699,信息技术部,普通员工,差旅费,4397,4397,0,5,20,2,8,4,0,1800,1.4428,0.9508,是,否,否,否,A,人工复核
R005700,行政部,普通员工,差旅费,2214,2214,0,1,42,2,2,6,1,1800,0.23,0.8532,是,否,否,否,C,人工复核
R005701,行政部,主管,招待费,2733,2733,0,2,23,2,7,4,0,2200,0.2423,0.6645,是,是,是,否,A,通过
R005702,信息技术部,普通员工,办公用品,1343,1301,42,1,30,2,5,9,0,700,0.9186,0.7273,是,否,是,否,A,人工复核
R005703,市场部,普通员工,交通费,240,240,0,2,8,1,8,1,5,350,-0.3143,0.8662,是,否,否,否,C,通过
R005704,销售部,经理,差旅费,2103,2103,0,3,2,2,4,1,0,1800,0.1683,0.9033,否,否,否,否,A,人工复核
R005705,生产部,主管,维修费,688,738,50,4,16,1,1,2,0,1500,-0.5413,1.2371,是,是,否,否,C,人工复核
R005706,行政部,主管,差旅费,1234,1234,0,4,24,2,12,1,0,1800,-0.3144,0.7173,是,否,否,否,B,通过
R005707,财务部,普通员工,办公用品,1201,1201,0,3,41,2,4,5,1,700,0.7157,0.4165,是,否,否,否,B,人工复核
R005708,生产部,普通员工,培训费,11211,11230,19,4,39,4,6,6,5,2600,3.3119,0.9818,是,是,否,否,C,人工复核
R005709,销售部,普通员工,差旅费,1406,1466,60,3,12,2,5,6,3,1800,-0.2189,0.9149,是,否,是,否,D,退回
R005710,财务部,经理,维修费,4042,4082,40,5,42,2,3,1,1,1500,1.6947,1.0146,是,否,是,否,B,人工复核
R005711,财务部,主管,差旅费,2626,2626,0,4,28,2,4,3,1,1800,0.4589,0.8827,否,否,否,否,B,退回
R005712,人力资源部,普通员工,交通费,689,689,0,3,40,1,3,1,1,350,0.9686,0.432,是,否,是,否,B,人工复核
R005713,信息技术部,普通员工,交通费,1182,1182,0,6,42,2,2,4,0,350,2.3771,0.6947,是,否,是,否,B,通过
R005714,市场部,主管,差旅费,1011,987,24,4,27,2,1,1,0,1800,-0.4383,0.4684,是,是,否,否,B,通过
R005715,人力资源部,普通员工,办公用品,1296,1296,0,3,24,2,7,5,1,700,0.8514,0.4484,是,否,否,否,A,通过
R005716,财务部,普通员工,办公用品,537,537,0,2,37,1,0,3,1,700,-0.2329,0.595,否,否,否,否,A,人工复核
R005717,财务部,经理,交通费,430,465,35,4,34,1,1,3,0,350,0.2286,0.5615,是,是,是,否,C,人工复核
R005718,销售部,普通员工,办公用品,1373,1373,0,2,4,2,0,7,1,700,0.9614,0.7909,是,是,否,否,C,人工复核
R005719,生产部,普通员工,办公用品,626,626,0,1,40,1,7,5,3,700,-0.1057,0.9622,是,否,是,否,A,人工复核
R005720,财务部,普通员工,交通费,1563,1563,0,1,39,2,4,1,0,350,3.4657,0.8919,是,否,是,否,A,人工复核
R005721,生产部,普通员工,会议费,2642,2642,0,3,86,2,4,2,0,3200,-0.1744,0.7335,是,是,否,否,A,通过
R005722,行政部,普通员工,交通费,1103,1103,0,3,6,2,5,5,0,350,2.1514,0.364,是,是,是,否,B,通过
R005723,信息技术部,主管,招待费,1284,1284,0,1,16,2,7,6,0,2200,-0.4164,0.8678,是,否,是,否,C,通过
R005724,销售部,实习生,招待费,2444,2444,0,2,36,2,7,4,4,2200,0.1109,0.9199,是,是,否,否,B,退回
R005725,行政部,普通员工,咨询服务费,9368,10207,839,4,21,3,0,3,3,6500,0.4412,0.4926,是,是,是,否,A,退回
R005726,人力资源部,普通员工,交通费,375,355,20,1,89,1,4,5,0,350,0.0714,1.0403,是,否,否,否,A,人工复核
R005727,市场部,普通员工,招待费,7665,7697,32,3,34,3,7,16,0,2200,2.4841,0.6275,是,否,否,否,B,人工复核
R005728,行政部,普通员工,交通费,626,626,0,3,21,1,6,3,0,350,0.7886,0.843,是,是,是,否,A,通过
R005729,行政部,普通员工,维修费,2563,2563,0,4,18,2,3,5,0,1500,0.7087,0.6605,是,是,否,否,A,通过
R005730,信息技术部,主管,办公用品,3072,3072,0,5,36,2,7,2,3,700,3.3886,0.8886,是,否,否,否,B,人工复核
R005731,信息技术部,普通员工,招待费,2314,2314,0,1,25,2,8,7,4,2200,0.0518,1.1202,是,否,否,否,B,人工复核
R005732,信息技术部,普通员工,差旅费,7482,7482,0,7,17,3,7,1,1,1800,3.1567,0.7442,是,否,是,否,A,人工复核
R005733,销售部,主管,办公用品,316,316,0,3,44,1,5,4,1,700,-0.5486,0.7126,否,否,否,否,A,人工复核
R005734,财务部,主管,交通费,229,229,0,3,15,1,1,1,0,350,-0.3457,0.6161,是,是,否,否,A,通过
R005735,市场部,普通员工,办公用品,363,363,0,4,16,1,11,3,0,700,-0.4814,0.8128,否,否,否,否,A,人工复核
R005736,采购部,主管,培训费,3303,3303,0,4,4,2,0,7,1,2600,0.2704,0.804,是,是,否,否,A,人工复核
R005737,生产部,普通员工,广告宣传费,6323,6323,0,4,41,3,7,5,5,5000,0.2646,0.446,是,否,否,否,A,人工复核
R005738,信息技术部,经理,交通费,320,320,0,1,14,1,8,11,0,350,-0.0857,1.182,是,否,是,否,A,人工复核
R005739,人力资源部,主管,招待费,4016,4016,0,3,38,2,5,1,0,2200,0.8255,0.6115,是,否,否,否,A,通过
R005740,销售部,主管,办公用品,1318,1318,0,3,2,2,1,7,0,700,0.8829,1.1731,否,是,否,否,B,人工复核
R005741,财务部,普通员工,广告宣传费,4373,4373,0,1,37,2,3,7,0,5000,-0.1254,0.6102,是,是,否,否,A,通过
R005742,采购部,普通员工,广告宣传费,21533,21533,0,5,4,4,2,6,1,5000,3.3066,0.9998,是,是,否,否,C,退回
R005743,财务部,普通员工,办公用品,808,808,0,2,24,1,2,6,0,700,0.1543,0.9865,是,是,否,否,D,退回
R005744,人力资源部,普通员工,维修费,2035,2039,4,2,42,2,5,3,0,1500,0.3567,0.9281,是,是,是,否,B,人工复核
R005745,信息技术部,主管,维修费,2336,2306,30,2,33,2,2,4,0,1500,0.5573,0.8482,否,是,是,否,C,人工复核
R005746,销售部,实习生,招待费,1914,1878,36,4,39,2,1,1,1,2200,-0.13,1.0407,是,否,否,否,C,人工复核
R005747,生产部,经理,差旅费,879,834,45,4,17,1,5,5,0,1800,-0.5117,0.9463,是,否,否,否,C,人工复核
R005748,销售部,普通员工,广告宣传费,6750,6787,37,1,4,3,4,6,0,5000,0.35,1.0113,是,否,否,否,A,人工复核
R005749,信息技术部,实习生,维修费,982,971,11,1,56,1,8,6,0,1500,-0.3453,0.9428,是,是,否,否,A,通过
R005750,财务部,普通员工,广告宣传费,2919,2919,0,4,61,2,2,1,0,5000,-0.4162,0.3889,是,是,否,否,B,通过
R005751,行政部,普通员工,培训费,916,916,0,4,36,1,1,1,0,2600,-0.6477,0.5414,是,是,否,否,A,通过
R005752,信息技术部,普通员工,广告宣传费,10984,10984,0,5,31,4,4,5,0,5000,1.1968,0.862,是,是,否,否,A,退回
R005753,生产部,普通员工,招待费,1048,1048,0,1,17,2,4,2,1,2200,-0.5236,0.705,是,是,否,否,C,通过
R005754,人力资源部,普通员工,办公用品,2769,2781,12,3,3,2,8,6,0,700,2.9557,0.6708,是,是,是,否,A,人工复核
R005755,销售部,普通员工,差旅费,3046,3046,0,3,22,2,1,5,1,1800,0.6922,1.0372,是,是,否,否,B,人工复核
R005756,销售部,主管,交通费,241,234,7,3,2,1,7,6,0,350,-0.3114,1.0332,是,否,否,否,A,通过
R005757,市场部,普通员工,广告宣传费,3745,3745,0,1,22,2,8,5,0,5000,-0.251,0.8976,是,是,否,否,B,通过
R005758,市场部,普通员工,办公用品,319,319,0,2,20,1,7,2,0,700,-0.5443,0.5547,是,否,否,否,C,通过
R005759,人力资源部,主管,办公用品,774,774,0,2,9,1,0,1,1,700,0.1057,1.0344,是,否,否,否,C,人工复核
R005760,市场部,普通员工,差旅费,2652,2039,613,2,23,2,1,2,0,1800,0.4733,0.5668,是,否,否,否,B,人工复核
R005761,销售部,主管,维修费,2863,2915,52,4,17,2,4,4,0,1500,0.9087,0.6857,是,是,否,否,A,通过
R005762,生产部,普通员工,交通费,609,666,57,3,3,1,3,2,3,350,0.74,0.7785,是,否,否,否,A,退回
R005763,信息技术部,普通员工,维修费,2694,2697,3,3,25,2,2,1,5,1500,0.796,0.6834,是,是,否,否,A,人工复核
R005764,人力资源部,普通员工,通信费,170,131,39,3,16,1,7,1,1,280,-0.3929,1.2057,是,是,否,否,B,人工复核
R005765,财务部,经理,办公用品,1244,1220,24,3,44,2,0,3,0,700,0.7771,0.9037,是,否,否,否,A,人工复核
R005766,市场部,主管,广告宣传费,1277,1277,0,3,77,2,7,2,0,5000,-0.7446,0.5158,是,是,否,否,B,通过
R005767,销售部,经理,招待费,3564,3564,0,2,25,2,6,3,1,2200,0.62,0.7176,是,否,否,否,A,通过
R005768,行政部,主管,办公用品,1170,1170,0,2,24,2,15,5,1,700,0.6714,0.9677,是,是,是,否,B,通过
R005769,财务部,主管,广告宣传费,6113,6113,0,4,1,3,7,4,4,5000,0.2226,0.698,是,是,否,否,C,人工复核
R005770,生产部,主管,培训费,3955,3915,40,1,3,2,3,1,1,2600,0.5212,0.6711,是,是,否,否,B,人工复核
R005771,销售部,主管,通信费,85,679,594,2,40,1,8,2,0,280,-0.6964,0.7961,是,否,否,否,A,人工复核
R005772,财务部,主管,培训费,1593,1593,0,1,22,2,1,6,1,2600,-0.3873,0.4004,是,是,是,否,B,通过
R005773,销售部,普通员工,广告宣传费,2795,2795,0,3,15,2,4,4,0,5000,-0.441,0.8255,是,是,否,否,A,通过
R005774,行政部,普通员工,差旅费,2987,2987,0,2,30,2,5,5,0,1800,0.6594,0.5209,是,否,否,是,A,人工复核
R005775,采购部,普通员工,差旅费,1104,1104,0,2,21,2,2,5,0,1800,-0.3867,1.0442,否,是,否,否,C,人工复核
R005776,生产部,普通员工,招待费,2345,2316,29,1,12,2,6,1,0,2200,0.0659,0.9269,是,是,否,否,C,退回
R005777,财务部,经理,交通费,612,612,0,4,21,1,2,6,0,350,0.7486,0.3842,是,是,否,否,A,通过
R005778,生产部,主管,广告宣传费,4528,4528,0,1,21,2,4,5,3,5000,-0.0944,0.6629,是,否,否,否,B,退回
R005779,采购部,主管,通信费,281,281,0,4,40,1,8,13,0,280,0.0036,0.5401,是,否,否,否,C,通过
R005780,市场部,主管,交通费,522,566,44,1,43,1,4,2,0,350,0.4914,0.413,是,否,否,否,C,人工复核
R005781,人力资源部,普通员工,培训费,3235,3291,56,4,44,2,6,5,1,2600,0.2442,0.6245,是,是,否,否,B,人工复核
R005782,行政部,普通员工,会议费,1955,1955,0,3,37,2,8,4,0,3200,-0.3891,1.126,是,是,否,否,B,人工复核
R005783,生产部,主管,办公用品,960,990,30,4,25,1,7,5,3,700,0.3714,0.8205,是,否,否,否,A,人工复核
R005784,信息技术部,主管,差旅费,641,641,0,1,44,1,3,4,0,1800,-0.6439,0.3505,是,否,否,否,B,人工复核
R005785,财务部,普通员工,办公用品,1165,1203,38,3,24,2,8,6,0,700,0.6643,0.8131,是,否,是,否,A,人工复核
R005786,生产部,普通员工,通信费,513,513,0,2,3,1,5,7,1,280,0.8321,0.8343,是,否,否,否,B,通过
R005787,市场部,普通员工,差旅费,3624,3624,0,5,42,2,7,5,0,1800,1.0133,1.0116,否,否,否,否,A,退回
R005788,市场部,主管,咨询服务费,9462,9183,279,4,34,3,3,7,0,6500,0.4557,0.3758,是,否,否,否,A,人工复核
R005789,销售部,主管,交通费,156,0,156,3,32,1,0,4,2,350,-0.5543,0.814,是,是,否,否,A,人工复核
R005790,行政部,普通员工,维修费,1076,1117,41,2,27,2,6,2,1,1500,-0.2827,0.8513,否,是,否,否,B,退回
R005791,生产部,经理,咨询服务费,11530,11530,0,3,5,4,3,1,0,6500,0.7738,0.46,是,是,否,否,A,通过
R005792,财务部,普通员工,差旅费,1673,1706,33,1,36,2,2,13,0,1800,-0.0706,0.7012,是,否,否,否,B,退回
R005793,市场部,主管,招待费,2503,2503,0,3,9,2,7,7,0,2200,0.1377,0.463,是,否,是,否,D,人工复核
R005794,人力资源部,普通员工,会议费,2433,2433,0,2,34,2,4,3,0,3200,-0.2397,0.8181,是,是,否,否,A,通过
R005795,市场部,主管,咨询服务费,7410,7410,0,3,17,3,2,1,1,6500,0.14,0.7628,是,是,是,否,A,通过
R005796,生产部,普通员工,会议费,3323,3355,32,2,28,2,4,4,1,3200,0.0384,0.8021,是,是,否,否,C,人工复核
R005797,人力资源部,实习生,交通费,589,589,0,3,37,1,0,6,1,350,0.6829,0.557,是,否,是,否,A,人工复核
R005798,销售部,主管,差旅费,1831,1831,0,3,34,2,4,7,0,1800,0.0172,0.6495,是,否,否,否,A,通过
R005799,销售部,普通员工,招待费,2717,2717,0,4,14,2,6,1,0,2200,0.235,0.458,是,否,否,否,A,通过
R005800,人力资源部,普通员工,招待费,4408,4408,0,6,26,2,0,4,0,2200,1.0036,0.4765,否,是,是,否,B,人工复核
R005801,市场部,普通员工,招待费,1439,1439,0,2,34,2,6,2,0,2200,-0.3459,1.2448,是,否,否,否,A,人工复核
R005802,销售部,实习生,交通费,1093,1093,0,5,38,2,1,12,1,350,2.1229,0.5746,是,否,否,否,A,人工复核
R005803,市场部,普通员工,办公用品,1481,1507,26,1,30,2,3,7,0,700,1.1157,0.9098,是,是,否,否,B,人工复核
R005804,销售部,主管,会议费,5277,5277,0,2,20,3,16,1,0,3200,0.6491,1.0643,是,是,否,否,B,人工复核
R005805,信息技术部,普通员工,咨询服务费,8477,8477,0,4,33,3,0,7,0,6500,0.3042,0.4065,是,否,否,否,C,人工复核
R005806,人力资源部,普通员工,会议费,5394,5394,0,3,49,3,16,7,0,3200,0.6856,1.0053,是,否,否,否,B,退回
R005807,信息技术部,普通员工,招待费,1622,1622,0,4,42,2,1,4,0,2200,-0.2627,0.7825,是,是,否,否,B,通过
R005808,生产部,实习生,招待费,3041,2985,56,1,8,2,17,4,2,2200,0.3823,0.7233,是,否,否,否,A,人工复核
R005809,信息技术部,普通员工,办公用品,1363,1363,0,1,37,2,2,5,2,700,0.9471,0.4918,是,否,否,否,A,通过
R005810,销售部,普通员工,交通费,311,311,0,1,41,1,7,5,0,350,-0.1114,0.3643,是,否,否,否,A,通过
R005811,采购部,经理,交通费,649,649,0,3,5,1,3,5,0,350,0.8543,0.5161,是,否,否,否,B,通过
R005812,市场部,经理,差旅费,4747,4747,0,7,9,2,3,4,0,1800,1.6372,0.6055,是,否,否,否,A,通过
R005813,市场部,普通员工,办公用品,902,902,0,3,88,1,1,16,0,700,0.2886,0.8314,是,是,否,否,A,退回
R005814,信息技术部,经理,办公用品,324,324,0,3,42,1,1,6,2,700,-0.5371,0.4679,是,否,否,否,C,通过
R005815,行政部,经理,通信费,671,671,0,1,29,1,8,4,0,280,1.3964,0.8804,是,否,否,否,A,通过
R005816,人力资源部,普通员工,广告宣传费,2170,2170,0,4,2,2,0,3,0,5000,-0.566,0.9752,是,是,是,否,C,通过
R005817,人力资源部,主管,会议费,10127,10127,0,7,31,4,6,3,0,3200,2.1647,0.633,是,是,否,否,B,人工复核
R005818,生产部,主管,差旅费,3108,3108,0,4,29,2,2,7,1,1800,0.7267,0.8569,是,否,否,否,C,人工复核
R005819,市场部,普通员工,差旅费,2928,2928,0,2,8,2,1,3,1,1800,0.6267,0.6363,是,是,是,否,A,通过
R005820,行政部,普通员工,广告宣传费,3135,3081,54,4,5,2,8,3,0,5000,-0.373,1.0201,是,是,否,否,A,人工复核
R005821,财务部,普通员工,广告宣传费,5038,5009,29,1,38,3,4,6,2,5000,0.0076,0.6438,是,否,是,否,A,人工复核
R005822,生产部,普通员工,招待费,2330,2330,0,4,8,2,6,5,1,2200,0.0591,0.455,否,否,否,否,A,人工复核
R005823,市场部,主管,维修费,4642,4642,0,1,34,2,1,2,0,1500,2.0947,0.4477,是,是,是,否,A,人工复核
R005824,市场部,普通员工,会议费,1740,1740,0,4,27,2,6,3,0,3200,-0.4562,0.4244,是,是,否,否,B,通过
R005825,销售部,普通员工,广告宣传费,5624,5624,0,1,34,3,5,1,0,5000,0.1248,0.8392,是,是,否,否,B,通过
R005826,信息技术部,普通员工,差旅费,1181,1181,0,3,4,2,3,5,0,1800,-0.3439,1.0373,是,是,否,否,B,通过
R005827,财务部,主管,咨询服务费,21680,21680,0,5,25,4,8,5,0,6500,2.3354,0.4934,是,是,否,否,A,通过
R005828,销售部,普通员工,交通费,1246,1246,0,7,21,2,7,2,0,350,2.56,0.8218,是,否,否,否,B,通过
R005829,行政部,主管,招待费,1706,808,898,1,29,2,4,6,4,2200,-0.2245,0.4135,是,否,否,否,B,人工复核
R005830,信息技术部,经理,办公用品,614,614,0,3,8,1,18,3,0,700,-0.1229,0.6878,是,否,是,否,D,人工复核
R005831,销售部,主管,招待费,3374,3433,59,3,10,2,7,2,0,2200,0.5336,0.3567,是,是,否,是,A,人工复核
R005832,财务部,普通员工,交通费,531,548,17,4,5,1,3,12,0,350,0.5171,0.974,是,否,否,否,A,人工复核
R005833,销售部,普通员工,招待费,3449,3449,0,3,29,2,7,2,0,2200,0.5677,1.2226,是,否,否,否,A,退回
R005834,人力资源部,主管,差旅费,2347,2347,0,3,41,2,2,4,0,1800,0.3039,0.7754,是,否,否,否,D,人工复核
R005835,市场部,主管,交通费,1204,1259,55,5,40,2,4,1,1,350,2.44,0.4468,是,否,是,否,A,人工复核
R005836,人力资源部,主管,办公用品,800,795,5,4,41,1,4,2,0,700,0.1429,0.5605,是,是,否,否,B,通过
R005837,销售部,主管,差旅费,1825,1825,0,2,18,2,6,3,0,1800,0.0139,1.1157,是,否,否,否,A,人工复核
R005838,销售部,经理,差旅费,1204,1204,0,3,6,2,3,5,1,1800,-0.3311,0.369,否,是,否,否,A,人工复核
R005839,人力资源部,主管,咨询服务费,2355,2355,0,4,44,2,0,6,0,6500,-0.6377,0.6381,是,是,否,否,A,通过
R005840,采购部,普通员工,广告宣传费,7104,7740,636,4,34,3,4,2,0,5000,0.4208,0.9965,是,是,否,否,A,人工复核
R005841,生产部,普通员工,通信费,413,438,25,1,30,1,1,7,4,280,0.475,1.0052,是,否,否,否,A,人工复核
R005842,生产部,实习生,办公用品,950,925,25,3,12,1,2,7,0,700,0.3571,0.3527,是,否,否,否,A,人工复核
R005843,人力资源部,普通员工,差旅费,646,437,209,4,35,1,2,1,2,1800,-0.6411,0.5103,是,否,否,否,A,人工复核
R005844,市场部,经理,广告宣传费,5510,5547,37,2,38,3,5,4,0,5000,0.102,0.501,是,是,是,否,C,人工复核
R005845,生产部,普通员工,招待费,3175,3180,5,1,40,2,0,5,0,2200,0.4432,0.3722,是,否,否,否,A,通过
R005846,人力资源部,普通员工,办公用品,1201,1201,0,2,6,2,4,10,0,700,0.7157,1.034,是,否,否,否,A,人工复核
R005847,市场部,主管,差旅费,6172,6172,0,4,39,3,7,7,1,1800,2.4289,0.5349,是,是,否,否,D,退回
R005848,信息技术部,普通员工,差旅费,1605,1605,0,2,38,2,7,5,0,1800,-0.1083,0.6556,是,否,是,否,A,人工复核
R005849,人力资源部,普通员工,差旅费,2775,2775,0,4,16,2,3,2,2,1800,0.5417,1.0167,是,否,是,否,A,人工复核
R005850,销售部,实习生,招待费,3229,3229,0,4,2,2,4,6,0,2200,0.4677,0.8342,是,否,否,否,A,通过
R005851,财务部,主管,办公用品,778,778,0,2,19,1,16,2,1,700,0.1114,0.363,是,否,是,否,A,人工复核
R005852,信息技术部,主管,通信费,248,248,0,3,37,1,8,2,1,280,-0.1143,0.5163,是,是,否,否,A,人工复核
R005853,财务部,普通员工,培训费,3726,4536,810,3,23,2,6,2,0,2600,0.4331,0.4889,是,是,否,否,B,通过
R005854,财务部,实习生,会议费,6126,6126,0,3,9,3,1,1,0,3200,0.9144,0.9407,是,是,否,否,A,通过
R005855,财务部,普通员工,办公用品,786,786,0,1,49,1,8,2,0,700,0.1229,0.9282,是,否,否,否,A,人工复核
